customer_id,country_of_residence,country_of_birth,trasnaction_amount,transaction_country,transaction_category,transaction_country_category,transaction_origin_currency,transaction_date,transaction_type,transaction_business,average_monthly_transaction,alert_flag
121,Iran,Iran,28619,Iran,Interbank,ExternalSanctioned,Rial,2023-06-13,Digital,Automobile,20000,Y
122,USA,Iran,11832,USA,Intrabank,ExternalNonSanctioned,USD,2023-06-28,Digital,Education,40000,Y
123,USA,India,2511,USA,Intrabank,ExternalNonSanctioned,USD,2023-06-12,Digital,Automobile,10000,Y
124,India,Iran,39758,India,Interbank,ExternalNonSanctioned,INR,2023-06-03,Digital,FMCG,40000,Y
125,Germany,Iran,5690,Germany,Interbank,ExternalNonSanctioned,EUR,2023-06-01,Digital,RealEstate,40000,Y
128,Germany,Germany,27424,Germany,Interbank,inCountry,EUR,2023-06-09,Cash,FMCG,20000,N
129,India,Iran,45584,India,Interbank,ExternalNonSanctioned,INR,2023-06-10,Digital,RealEstate,5000,Y
130,Iran,Iran,33981,Iran,Interbank,inCountry,Rial,2023-06-26,Cash,Automobile,20000,Y
134,USA,India,40465,USA,Intrabank,ExternalNonSanctioned,USD,2023-06-01,Digital,Automobile,20000,Y
135,Germany,Germany,13233,Germany,Interbank,ExternalNonSanctioned,EUR,2023-06-13,Digital,Education,20000,Y
137,India,India,41213,India,Intrabank,ExternalNonSanctioned,INR,2023-06-06,Digital,Travel,20000,Y
139,UK,Germany,28260,UK,Intrabank,ExternalNonSanctioned,GBP,2023-06-02,Digital,Automobile,5000,Y
140,USA,Germany,27550,USA,Interbank,ExternalNonSanctioned,USD,2023-06-05,Digital,Travel,20000,Y
141,UK,India,4789,UK,Interbank,ExternalNonSanctioned,GBP,2023-06-26,Digital,RealEstate,30000,Y
144,UK,Germany,29496,UK,Interbank,ExternalNonSanctioned,GBP,2023-06-07,Digital,FMCG,30000,Y
145,India,India,42948,India,Intrabank,ExternalNonSanctioned,INR,2023-06-28,Digital,Automobile,20000,Y
146,USA,Iran,11472,USA,Intrabank,ExternalSanctioned,USD,2023-06-09,Digital,Travel,40000,Y
148,Germany,India,31761,Germany,Intrabank,inCountry,EUR,2023-06-18,Cash,FMCG,10000,Y
149,Germany,Germany,32393,Germany,Interbank,ExternalSanctioned,EUR,2023-06-19,Digital,RealEstate,30000,Y
151,Germany,Germany,19395,Germany,Intrabank,ExternalNonSanctioned,EUR,2023-06-11,Digital,Travel,40000,Y
152,Germany,Iran,34962,Germany,Intrabank,ExternalNonSanctioned,EUR,2023-06-08,Digital,FMCG,20000,Y
153,Germany,India,25691,Germany,Interbank,ExternalNonSanctioned,EUR,2023-06-02,Digital,Travel,30000,Y
154,Iran,Iran,11591,Iran,Intrabank,ExternalNonSanctioned,Rial,2023-06-21,Digital,RealEstate,10000,Y
157,India,Germany,17589,India,Interbank,inCountry,INR,2023-06-30,Cash,Automobile,40000,N
158,India,India,32869,India,Interbank,ExternalSanctioned,INR,2023-06-23,Digital,Education,10000,Y
160,Iran,India,9582,Iran,Intrabank,ExternalNonSanctioned,Rial,2023-06-18,Digital,FMCG,30000,Y
161,Germany,Germany,10064,Germany,Intrabank,ExternalSanctioned,EUR,2023-06-03,Digital,Travel,5000,Y
162,USA,Germany,38316,USA,Interbank,ExternalSanctioned,USD,2023-06-19,Digital,Travel,20000,Y
163,UK,Germany,47152,UK,Interbank,ExternalNonSanctioned,GBP,2023-06-17,Digital,Automobile,10000,Y
165,USA,Iran,15981,USA,Interbank,ExternalSanctioned,USD,2023-06-09,Digital,FMCG,40000,Y
166,USA,Iran,7133,USA,Intrabank,ExternalSanctioned,USD,2023-06-26,Digital,Travel,20000,Y
168,UK,India,8293,UK,Interbank,ExternalNonSanctioned,GBP,2023-06-21,Digital,Education,30000,Y
169,UK,India,15813,UK,Interbank,inCountry,GBP,2023-06-20,Cash,RealEstate,10000,N
170,Germany,Germany,33753,Germany,Intrabank,ExternalNonSanctioned,EUR,2023-06-13,Digital,RealEstate,40000,Y
171,UK,Germany,26506,UK,Intrabank,inCountry,GBP,2023-06-27,Cash,Automobile,5000,Y
172,Iran,Iran,40346,Iran,Intrabank,ExternalSanctioned,Rial,2023-06-21,Digital,RealEstate,30000,Y
173,Iran,Iran,24327,Iran,Intrabank,ExternalNonSanctioned,Rial,2023-06-15,Digital,FMCG,10000,Y
174,India,Iran,46426,India,Interbank,inCountry,INR,2023-06-09,Cash,FMCG,40000,N
175,Germany,Germany,20598,Germany,Interbank,inCountry,EUR,2023-06-19,Cash,Education,40000,N
176,UK,Germany,34784,UK,Intrabank,ExternalNonSanctioned,GBP,2023-06-07,Digital,FMCG,40000,Y
177,India,India,41501,India,Interbank,ExternalSanctioned,INR,2023-06-17,Digital,RealEstate,40000,Y
178,UK,Germany,49057,UK,Intrabank,ExternalNonSanctioned,GBP,2023-06-23,Digital,FMCG,40000,Y
179,India,India,21011,India,Interbank,ExternalNonSanctioned,INR,2023-06-04,Digital,Automobile,20000,Y
180,Iran,Iran,27447,Iran,Intrabank,ExternalNonSanctioned,Rial,2023-06-14,Digital,Travel,5000,Y
181,USA,Iran,40177,USA,Intrabank,inCountry,USD,2023-06-14,Cash,FMCG,30000,Y
182,Germany,India,29739,Germany,Interbank,ExternalNonSanctioned,EUR,2023-06-27,Digital,FMCG,10000,Y
183,India,India,41372,India,Interbank,ExternalNonSanctioned,INR,2023-06-24,Digital,RealEstate,20000,Y
184,Germany,Germany,7732,Germany,Intrabank,ExternalNonSanctioned,EUR,2023-06-02,Digital,Travel,10000,Y
185,USA,Germany,40832,USA,Interbank,ExternalNonSanctioned,USD,2023-06-06,Digital,Automobile,10000,Y
186,Germany,Germany,4592,Germany,Interbank,ExternalNonSanctioned,EUR,2023-06-02,Digital,RealEstate,20000,Y
187,USA,Germany,41810,USA,Interbank,ExternalSanctioned,USD,2023-06-09,Digital,Education,40000,Y
188,UK,Iran,27976,UK,Intrabank,inCountry,GBP,2023-06-09,Cash,Education,30000,N
189,Iran,Iran,49798,Iran,Intrabank,inCountry,Rial,2023-06-14,Cash,Education,10000,Y
190,USA,India,45039,USA,Interbank,inCountry,USD,2023-06-13,Cash,Education,20000,Y
191,USA,India,4612,USA,Interbank,inCountry,USD,2023-06-21,Cash,RealEstate,20000,Y
192,USA,India,35204,USA,Intrabank,ExternalSanctioned,USD,2023-06-09,Digital,Travel,10000,Y
193,USA,Germany,15174,USA,Interbank,inCountry,USD,2023-06-05,Cash,FMCG,40000,N
194,Iran,Iran,31736,Iran,Interbank,inCountry,Rial,2023-06-24,Cash,Automobile,30000,N
195,Germany,India,42201,Germany,Interbank,ExternalNonSanctioned,EUR,2023-06-14,Digital,Travel,40000,Y
196,India,India,46034,India,Interbank,ExternalNonSanctioned,INR,2023-06-23,Digital,RealEstate,30000,Y
197,USA,India,1551,USA,Intrabank,inCountry,USD,2023-06-18,Cash,Automobile,20000,N
198,Germany,Germany,25419,Germany,Interbank,ExternalSanctioned,EUR,2023-06-21,Digital,Automobile,10000,Y
199,Germany,Germany,6755,Germany,Interbank,inCountry,EUR,2023-06-29,Cash,Automobile,20000,N
201,USA,India,45876,USA,Interbank,ExternalNonSanctioned,USD,2023-06-26,Digital,Automobile,40000,Y
202,USA,Germany,36659,USA,Intrabank,inCountry,USD,2023-06-16,Cash,Automobile,20000,Y
203,India,Germany,36900,India,Interbank,ExternalNonSanctioned,INR,2023-06-26,Digital,RealEstate,40000,Y
204,India,India,46775,India,Intrabank,ExternalSanctioned,INR,2023-06-16,Digital,Automobile,30000,Y
205,UK,Germany,24697,UK,Interbank,inCountry,GBP,2023-06-03,Cash,FMCG,30000,N
206,India,Germany,11891,India,Intrabank,inCountry,INR,2023-06-26,Cash,FMCG,20000,N
209,India,India,36095,India,Interbank,ExternalNonSanctioned,INR,2023-06-24,Digital,Travel,5000,Y
210,Iran,India,21468,Iran,Interbank,ExternalNonSanctioned,Rial,2023-06-11,Digital,Travel,40000,Y
211,Iran,India,11012,Iran,Interbank,ExternalNonSanctioned,Rial,2023-06-07,Digital,RealEstate,40000,Y
212,Germany,Germany,46001,Germany,Interbank,ExternalSanctioned,EUR,2023-06-02,Digital,Automobile,40000,Y
213,UK,Iran,3367,UK,Interbank,ExternalNonSanctioned,GBP,2023-06-20,Digital,Education,20000,Y
214,Iran,Germany,26266,Iran,Intrabank,ExternalNonSanctioned,Rial,2023-06-08,Digital,Travel,30000,Y
215,Iran,Germany,1054,Iran,Interbank,ExternalNonSanctioned,Rial,2023-06-17,Digital,Automobile,20000,Y
216,Iran,Iran,12025,Iran,Interbank,ExternalNonSanctioned,Rial,2023-06-29,Digital,Travel,10000,Y
217,India,Iran,25987,India,Intrabank,inCountry,INR,2023-06-30,Cash,Education,40000,N
218,UK,India,35516,UK,Interbank,ExternalNonSanctioned,GBP,2023-06-28,Digital,RealEstate,40000,Y
221,Iran,Germany,46888,Iran,Interbank,inCountry,Rial,2023-06-18,Cash,Education,20000,Y
222,India,Germany,46413,India,Intrabank,inCountry,INR,2023-06-22,Cash,Education,40000,N
223,USA,Germany,49606,USA,Interbank,ExternalSanctioned,USD,2023-06-27,Digital,FMCG,10000,Y
224,USA,Iran,39638,USA,Interbank,ExternalNonSanctioned,USD,2023-06-21,Digital,FMCG,30000,Y
225,India,Iran,20298,India,Interbank,inCountry,INR,2023-06-10,Cash,Automobile,10000,Y
